train_loss,epoch,step,val_loss,test_acc
0.6143729090690613,0,49,,
0.528047502040863,0,99,,
,0,112,0.5180994272232056,
0.4870300590991974,1,149,,
0.44458839297294617,1,199,,
,1,225,0.4338172376155853,
0.43711549043655396,2,249,,
0.43021026253700256,2,299,,
,2,338,0.3990311622619629,
0.39737293124198914,3,349,,
0.4043145775794983,3,399,,
0.38338595628738403,3,449,,
,3,451,0.3816291093826294,
0.39232149720191956,4,499,,
0.34917572140693665,4,549,,
,4,564,0.3716084361076355,
0.38200461864471436,5,599,,
0.3517169654369354,5,649,,
,5,677,0.3652304708957672,
0.36028537154197693,6,699,,
0.35803765058517456,6,749,,
,6,790,0.36087095737457275,
0.36160075664520264,7,799,,
0.3565143644809723,7,849,,
0.39283329248428345,7,899,,
,7,903,0.3577350676059723,
0.35390645265579224,8,949,,
0.34655794501304626,8,999,,
,8,1016,0.3553636372089386,
0.3499873876571655,9,1049,,
0.3852853775024414,9,1099,,
,9,1129,0.35352087020874023,
0.3600231409072876,10,1149,,
0.3711507320404053,10,1199,,
,10,1242,0.3520440459251404,
0.3381454646587372,11,1249,,
0.350018709897995,11,1299,,
0.339293509721756,11,1349,,
,11,1355,0.3508451581001282,
0.3578401207923889,12,1399,,
0.3520908057689667,12,1449,,
,12,1468,0.3498401939868927,
0.331173300743103,13,1499,,
0.3631415069103241,13,1549,,
,13,1581,0.34898805618286133,
0.34539666771888733,14,1599,,
0.3545178771018982,14,1649,,
,14,1694,0.34824472665786743,
0.35274627804756165,15,1699,,
0.34327957034111023,15,1749,,
0.3456457853317261,15,1799,,
,15,1807,0.3476036489009857,
0.36665165424346924,16,1849,,
0.3373386859893799,16,1899,,
,16,1920,0.34703415632247925,
0.33370542526245117,17,1949,,
0.35657888650894165,17,1999,,
,17,2033,0.346525639295578,
0.34555014967918396,18,2049,,
0.3470994532108307,18,2099,,
,18,2146,0.3460661470890045,
0.35956788063049316,19,2149,,
0.3347266912460327,19,2199,,
0.34332144260406494,19,2249,,
,19,2259,0.34565240144729614,
0.33026111125946045,20,2299,,
0.33943718671798706,20,2349,,
,20,2372,0.34527111053466797,
0.35813838243484497,21,2399,,
0.3556674122810364,21,2449,,
,21,2485,0.3449227511882782,
0.34697219729423523,22,2499,,
0.35521745681762695,22,2549,,
,22,2598,0.34459570050239563,
0.36947450041770935,23,2599,,
0.34221214056015015,23,2649,,
0.3416096568107605,23,2699,,
,23,2711,0.3442942202091217,
0.34842637181282043,24,2749,,
0.32865580916404724,24,2799,,
,24,2824,0.3440117835998535,
0.36183226108551025,25,2849,,
0.37300482392311096,25,2899,,
,25,2937,0.343744158744812,
0.3335082530975342,26,2949,,
0.3252701461315155,26,2999,,
0.3196343779563904,26,3049,,
,26,3050,0.34349074959754944,
0.3541746735572815,27,3099,,
0.3468031883239746,27,3149,,
,27,3163,0.34325239062309265,
0.3449084460735321,28,3199,,
0.3664242923259735,28,3249,,
,28,3276,0.3430243730545044,
0.35514310002326965,29,3299,,
0.34485551714897156,29,3349,,
,29,3389,0.34281060099601746,
0.35144758224487305,30,3399,,
0.34134137630462646,30,3449,,
0.3346351981163025,30,3499,,
,30,3502,0.3426021933555603,
0.3514801263809204,31,3549,,
0.3616577088832855,31,3599,,
,31,3615,0.3424035310745239,
0.3542684018611908,32,3649,,
0.3248259723186493,32,3699,,
,32,3728,0.3422183692455292,
0.3691469132900238,33,3749,,
0.3550204336643219,33,3799,,
,33,3841,0.3420341908931732,
0.3228941857814789,34,3849,,
0.34475472569465637,34,3899,,
0.34448397159576416,34,3949,,
,34,3954,0.3418569564819336,
0.34493136405944824,35,3999,,
0.33268389105796814,35,4049,,
,35,4067,0.341690331697464,
0.33265936374664307,36,4099,,
0.3320258855819702,36,4149,,
,36,4180,0.34152543544769287,
0.3464357256889343,37,4199,,
0.3455997705459595,37,4249,,
,37,4293,0.34136536717414856,
0.3283957540988922,38,4299,,
0.33335816860198975,38,4349,,
0.3243887424468994,38,4399,,
,38,4406,0.3412155508995056,
0.34501752257347107,39,4449,,
0.3610645532608032,39,4499,,
,39,4519,0.3410704433917999,
0.32692772150039673,40,4549,,
0.3333388566970825,40,4599,,
,40,4632,0.3409307599067688,
0.3392350673675537,41,4649,,
0.3299015760421753,41,4699,,
,41,4745,0.3407987952232361,
0.3589716851711273,42,4749,,
0.3629552125930786,42,4799,,
0.3469017446041107,42,4849,,
,42,4858,0.3406655788421631,
0.33391427993774414,43,4899,,
0.3507712483406067,43,4949,,
,43,4971,0.3405385911464691,
0.338636189699173,44,4999,,
0.335223525762558,44,5049,,
,44,5084,0.3404165506362915,
0.3322984576225281,45,5099,,
0.3669273257255554,45,5149,,
,45,5197,0.340300053358078,
0.3286288380622864,46,5199,,
0.3213975131511688,46,5249,,
0.3268046975135803,46,5299,,
,46,5310,0.3401835858821869,
0.354693204164505,47,5349,,
0.3548347055912018,47,5399,,
,47,5423,0.3400752544403076,
0.3574899733066559,48,5449,,
0.3363889157772064,48,5499,,
,48,5536,0.3399702310562134,
0.36077260971069336,49,5549,,
0.34311574697494507,49,5599,,
0.3270825445652008,49,5649,,
,49,5649,0.33986741304397583,
0.3354593515396118,50,5699,,
0.3501185178756714,50,5749,,
,50,5762,0.3397704064846039,
0.32598817348480225,51,5799,,
0.34393927454948425,51,5849,,
,51,5875,0.33968091011047363,
0.3397124111652374,52,5899,,
0.3475048243999481,52,5949,,
,52,5988,0.3395925462245941,
0.3800538182258606,53,5999,,
0.35082244873046875,53,6049,,
0.3513954281806946,53,6099,,
,53,6101,0.33950889110565186,
0.33114761114120483,54,6149,,
0.3319121301174164,54,6199,,
,54,6214,0.339420348405838,
0.33730974793434143,55,6249,,
0.3503451347351074,55,6299,,
,55,6327,0.3393457233905792,
0.33912068605422974,56,6349,,
0.32727354764938354,56,6399,,
,56,6440,0.3392680585384369,
0.3331998586654663,57,6449,,
0.3207134008407593,57,6499,,
0.3271371126174927,57,6549,,
,57,6553,0.33919617533683777,
0.33997949957847595,58,6599,,
0.3657740354537964,58,6649,,
,58,6666,0.3391301929950714,
0.3444221317768097,59,6699,,
0.3264927864074707,59,6749,,
,59,6779,0.3390633165836334,
0.3396482765674591,60,6799,,
0.349952757358551,60,6849,,
,60,6892,0.3390001654624939,
0.34218111634254456,61,6899,,
0.344364732503891,61,6949,,
0.3535160720348358,61,6999,,
,61,7005,0.33893996477127075,
0.3399777412414551,62,7049,,
0.33322814106941223,62,7099,,
,62,7118,0.3388746678829193,
0.3479495942592621,63,7149,,
0.34400779008865356,63,7199,,
,63,7231,0.3388211131095886,
0.3488037586212158,64,7249,,
0.33290502429008484,64,7299,,
,64,7344,0.3387722671031952,
0.34946757555007935,65,7349,,
0.3259026110172272,65,7399,,
0.33656662702560425,65,7449,,
,65,7457,0.338716596364975,
0.3272877037525177,66,7499,,
0.3300391733646393,66,7549,,
,66,7570,0.3386717438697815,
0.3230770230293274,67,7599,,
0.3633766770362854,67,7649,,
,67,7683,0.3386228084564209,
0.3442839980125427,68,7699,,
0.35815560817718506,68,7749,,
,68,7796,0.3385741710662842,
0.33462533354759216,69,7799,,
0.3305297791957855,69,7849,,
0.3428680896759033,69,7899,,
,69,7909,0.3385341763496399,
0.33951088786125183,70,7949,,
0.3470652997493744,70,7999,,
,70,8022,0.3384878933429718,
0.3307769298553467,71,8049,,
0.3438046872615814,71,8099,,
,71,8135,0.33845192193984985,
0.34912431240081787,72,8149,,
0.32745295763015747,72,8199,,
,72,8248,0.3384147584438324,
0.33313053846359253,73,8249,,
0.346675843000412,73,8299,,
0.3402262330055237,73,8349,,
,73,8361,0.33837518095970154,
0.33774566650390625,74,8399,,
0.34495809674263,74,8449,,
,74,8474,0.33834078907966614,
0.33261242508888245,75,8499,,
0.3487569987773895,75,8549,,
,75,8587,0.3383035361766815,
0.3578406274318695,76,8599,,
0.3473461866378784,76,8649,,
0.3538364768028259,76,8699,,
,76,8700,0.33827438950538635,
0.3519887924194336,77,8749,,
0.32259055972099304,77,8799,,
,77,8813,0.33823853731155396,
0.3450521230697632,78,8849,,
0.32556167244911194,78,8899,,
,78,8926,0.3382083773612976,
0.3485433757305145,79,8949,,
0.3330724537372589,79,8999,,
