train_loss,epoch,step,val_loss,test_acc
0.44483211636543274,0,49,,
0.3637782633304596,0,99,,
,0,112,0.3899845778942108,
0.364519864320755,1,149,,
0.3635227382183075,1,199,,
,1,225,0.38112112879753113,
0.36664795875549316,2,249,,
0.3550683557987213,2,299,,
,2,338,0.37828290462493896,
0.3550473749637604,3,349,,
0.37288254499435425,3,399,,
0.36485356092453003,3,449,,
,3,451,0.3780415952205658,
0.3495335280895233,4,499,,
0.36626172065734863,4,549,,
,4,564,0.3741278648376465,
0.34601572155952454,5,599,,
0.3724097013473511,5,649,,
,5,677,0.37462368607521057,
0.3469155430793762,6,699,,
0.3553735911846161,6,749,,
,6,790,0.37309423089027405,
0.377682626247406,7,799,,
0.3591347336769104,7,849,,
0.32964301109313965,7,899,,
,7,903,0.37330424785614014,
0.3535121977329254,8,949,,
0.369314044713974,8,999,,
,8,1016,0.3707861006259918,
0.3251102566719055,9,1049,,
0.35584205389022827,9,1099,,
,9,1129,0.37015917897224426,
0.3752906322479248,10,1149,,
0.3624197840690613,10,1199,,
,10,1242,0.3695002794265747,
0.4006938338279724,11,1249,,
0.34229499101638794,11,1299,,
0.35204607248306274,11,1349,,
,11,1355,0.3693116307258606,
0.3829146921634674,12,1399,,
0.35400390625,12,1449,,
,12,1468,0.3682824671268463,
0.39792805910110474,13,1499,,
0.37003591656684875,13,1549,,
,13,1581,0.36783576011657715,
0.3608770966529846,14,1599,,
0.36424198746681213,14,1649,,
,14,1694,0.36861467361450195,
0.3781793713569641,15,1699,,
0.35670018196105957,15,1749,,
0.34542521834373474,15,1799,,
,15,1807,0.367229163646698,
0.35129493474960327,16,1849,,
0.35179784893989563,16,1899,,
,16,1920,0.3666965365409851,
0.3934737741947174,17,1949,,
0.3493320643901825,17,1999,,
,17,2033,0.3679066598415375,
0.3824297785758972,18,2049,,
0.3747252821922302,18,2099,,
,18,2146,0.3668642044067383,
0.3790055215358734,19,2149,,
0.3610445261001587,19,2199,,
0.36552804708480835,19,2249,,
,19,2259,0.3659643530845642,
0.3667057454586029,20,2299,,
0.36944442987442017,20,2349,,
,20,2372,0.36571118235588074,
0.36034688353538513,21,2399,,
0.340659499168396,21,2449,,
,21,2485,0.3652193248271942,
0.3619677722454071,22,2499,,
0.34299376606941223,22,2549,,
,22,2598,0.36516430974006653,
0.3361445963382721,23,2599,,
0.34600937366485596,23,2649,,
0.3469317853450775,23,2699,,
,23,2711,0.3658018410205841,
0.3387611508369446,24,2749,,
0.3643176853656769,24,2799,,
,24,2824,0.36881178617477417,
0.34722745418548584,25,2849,,
0.37334728240966797,25,2899,,
,25,2937,0.3642732501029968,
0.36236366629600525,26,2949,,
0.35636240243911743,26,2999,,
0.3637722134590149,26,3049,,
,26,3050,0.3648698925971985,
0.33546003699302673,27,3099,,
0.3556894361972809,27,3149,,
,27,3163,0.3654647171497345,
0.35008662939071655,28,3199,,
0.33826375007629395,28,3249,,
,28,3276,0.36421531438827515,
0.3363070487976074,29,3299,,
0.3434111475944519,29,3349,,
,29,3389,0.36388760805130005,
0.3426811397075653,30,3399,,
0.3266303539276123,30,3449,,
0.3679664433002472,30,3499,,
,30,3502,0.36381152272224426,
0.3614323139190674,31,3549,,
0.3660459518432617,31,3599,,
,31,3615,0.3637908697128296,
0.3509697914123535,32,3649,,
0.3594180643558502,32,3699,,
,32,3728,0.3635300099849701,
0.3431752324104309,33,3749,,
0.36354413628578186,33,3799,,
,33,3841,0.3632871210575104,
0.35261157155036926,34,3849,,
0.33999186754226685,34,3899,,
0.36453285813331604,34,3949,,
,34,3954,0.3664100170135498,
0.3244139850139618,35,3999,,
0.3480629622936249,35,4049,,
,35,4067,0.36323150992393494,
0.36880621314048767,36,4099,,
0.3504056930541992,36,4149,,
,36,4180,0.369532972574234,
0.3331054449081421,37,4199,,
0.3282417953014374,37,4249,,
,37,4293,0.3630533814430237,
0.34272223711013794,38,4299,,
0.3685213029384613,38,4349,,
0.32803431153297424,38,4399,,
,38,4406,0.3630317151546478,
0.3627634048461914,39,4449,,
0.3693843185901642,39,4499,,
,39,4519,0.3650089204311371,
0.3547945022583008,40,4549,,
0.32793891429901123,40,4599,,
,40,4632,0.364236056804657,
0.33679547905921936,41,4649,,
0.370010644197464,41,4699,,
,41,4745,0.36231690645217896,
0.3482169806957245,42,4749,,
0.3323153853416443,42,4799,,
0.34017476439476013,42,4849,,
,42,4858,0.3636121153831482,
0.35249611735343933,43,4899,,
0.3681386709213257,43,4949,,
,43,4971,0.36292117834091187,
0.3230447769165039,44,4999,,
0.356498122215271,44,5049,,
,44,5084,0.3637288510799408,
0.3516308069229126,45,5099,,
0.3597467243671417,45,5149,,
,45,5197,0.3621687889099121,
0.35513997077941895,46,5199,,
0.34072181582450867,46,5249,,
0.32928526401519775,46,5299,,
,46,5310,0.3634696304798126,
0.3429638147354126,47,5349,,
0.3257617652416229,47,5399,,
,47,5423,0.362076073884964,
0.35091403126716614,48,5449,,
0.3405923545360565,48,5499,,
,48,5536,0.36270445585250854,
0.3574656844139099,49,5549,,
0.3670709729194641,49,5599,,
0.354469895362854,49,5649,,
,49,5649,0.3620226979255676,
0.34273168444633484,50,5699,,
0.36097708344459534,50,5749,,
,50,5762,0.36236777901649475,
0.3595133423805237,51,5799,,
0.3463861644268036,51,5849,,
,51,5875,0.3619687259197235,
0.3457649350166321,52,5899,,
0.3524044156074524,52,5949,,
,52,5988,0.36338698863983154,
0.3518601655960083,53,5999,,
0.3474869728088379,53,6049,,
0.3636052906513214,53,6099,,
