train_loss,epoch,step,val_loss
0.5495096445083618,0,49,
0.4824039340019226,0,99,
,0,112,0.4775698184967041
0.4539410471916199,1,149,
0.40841931104660034,1,199,
,1,225,0.4173703193664551
0.4052775502204895,2,249,
0.38816210627555847,2,299,
,2,338,0.3922507166862488
0.38688844442367554,3,349,
0.37286168336868286,3,399,
0.366414338350296,3,449,
,3,451,0.3793477714061737
0.3740589916706085,4,499,
0.3716431260108948,4,549,
,4,564,0.37172380089759827
0.36034083366394043,5,599,
0.36673295497894287,5,649,
,5,677,0.3667588233947754
0.3425905108451843,6,699,
0.33975186944007874,6,749,
,6,790,0.3632965683937073
0.36271965503692627,7,799,
0.357183575630188,7,849,
0.3547041416168213,7,899,
,7,903,0.3607427775859833
0.3534589409828186,8,949,
0.3754025399684906,8,999,
,8,1016,0.358797550201416
0.3644263744354248,9,1049,
0.34207916259765625,9,1099,
,9,1129,0.35724571347236633
0.37493714690208435,10,1149,
0.3452112078666687,10,1199,
,10,1242,0.3559844195842743
0.34133824706077576,11,1249,
0.3510463535785675,11,1299,
0.3378862738609314,11,1349,
,11,1355,0.3549340069293976
0.3590505123138428,12,1399,
0.3542288839817047,12,1449,
,12,1468,0.3540351688861847
0.34783002734184265,13,1499,
0.3300026059150696,13,1549,
,13,1581,0.35325121879577637
0.35004299879074097,14,1599,
0.33798345923423767,14,1649,
,14,1694,0.352563738822937
0.34966444969177246,15,1699,
0.3423713445663452,15,1749,
0.33832377195358276,15,1799,
,15,1807,0.3519608974456787
0.35618075728416443,16,1849,
0.3584400415420532,16,1899,
,16,1920,0.3514105975627899
0.3469918370246887,17,1949,
0.33412984013557434,17,1999,
,17,2033,0.3509085476398468
0.32153186202049255,18,2049,
0.34284526109695435,18,2099,
,18,2146,0.3504559397697449
0.3301302492618561,19,2149,
0.3352377712726593,19,2199,
0.382198691368103,19,2249,
,19,2259,0.3500345051288605
0.3838144540786743,20,2299,
0.3329387307167053,20,2349,
,20,2372,0.3496447503566742
0.36687031388282776,21,2399,
0.35128262639045715,21,2449,
,21,2485,0.34927597641944885
0.36480629444122314,22,2499,
0.3269507884979248,22,2549,
,22,2598,0.34893423318862915
0.33575570583343506,23,2599,
0.3535480797290802,23,2649,
0.3345164656639099,23,2699,
,23,2711,0.3486175835132599
0.3375534117221832,24,2749,
0.35831016302108765,24,2799,
,24,2824,0.34831514954566956
0.3544589877128601,25,2849,
0.3405264914035797,25,2899,
,25,2937,0.34802985191345215
0.34535321593284607,26,2949,
0.346819132566452,26,2999,
0.3499126434326172,26,3049,
,26,3050,0.34775885939598083
0.3408300280570984,27,3099,
0.323554128408432,27,3149,
,27,3163,0.34750044345855713
0.3530113101005554,28,3199,
0.3395036458969116,28,3249,
,28,3276,0.3472590744495392
0.34746426343917847,29,3299,
0.3365094065666199,29,3349,
,29,3389,0.3470235764980316
0.3506656885147095,30,3399,
0.3634106516838074,30,3449,
0.34900927543640137,30,3499,
,30,3502,0.3468033969402313
0.3345014452934265,31,3549,
0.346294105052948,31,3599,
,31,3615,0.3465849459171295
0.3481639623641968,32,3649,
0.3316008448600769,32,3699,
,32,3728,0.34638115763664246
0.34990429878234863,33,3749,
0.35143905878067017,33,3799,
,33,3841,0.34618738293647766
0.35508450865745544,34,3849,
0.32980096340179443,34,3899,
0.3524281978607178,34,3949,
,34,3954,0.3460075557231903
0.32503262162208557,35,3999,
0.3502972722053528,35,4049,
,35,4067,0.3458271324634552
0.3395429253578186,36,4099,
0.3225474953651428,36,4149,
,36,4180,0.3456541895866394
0.3534219264984131,37,4199,
0.3762601613998413,37,4249,
,37,4293,0.3454868197441101
0.3445205092430115,38,4299,
0.3273719251155853,38,4349,
0.3453156352043152,38,4399,
,38,4406,0.3453364074230194
0.36127087473869324,39,4449,
0.34516432881355286,39,4499,
,39,4519,0.34518590569496155
0.33473098278045654,40,4549,
0.34765154123306274,40,4599,
,40,4632,0.34504953026771545
0.36187273263931274,41,4649,
0.34762004017829895,41,4699,
,41,4745,0.3449162542819977
0.33445417881011963,42,4749,
0.34360450506210327,42,4799,
0.3439694344997406,42,4849,
,42,4858,0.34478387236595154
0.37601980566978455,43,4899,
0.33156368136405945,43,4949,
,43,4971,0.3446559011936188
0.3344918489456177,44,4999,
0.34635841846466064,44,5049,
,44,5084,0.34454768896102905
0.33380943536758423,45,5099,
0.33829566836357117,45,5149,
,45,5197,0.3444368541240692
0.34441882371902466,46,5199,
0.3520115911960602,46,5249,
0.36156952381134033,46,5299,
,46,5310,0.3443463146686554
0.35509347915649414,47,5349,
0.35956692695617676,47,5399,
,47,5423,0.34423109889030457
0.3230219781398773,48,5449,
0.33740901947021484,48,5499,
,48,5536,0.3441410958766937
0.33070632815361023,49,5549,
0.32357892394065857,49,5599,
0.386248916387558,49,5649,
,49,5649,0.34404870867729187
0.33563703298568726,50,5699,
0.34118497371673584,50,5749,
,50,5762,0.3439824879169464
0.35990631580352783,51,5799,
0.32315731048583984,51,5849,
,51,5875,0.3438965082168579
0.33243459463119507,52,5899,
0.331258088350296,52,5949,
,52,5988,0.34382161498069763
0.3372739255428314,53,5999,
0.34901267290115356,53,6049,
0.3600662350654602,53,6099,
,53,6101,0.3437606394290924
0.35320234298706055,54,6149,
0.3520808219909668,54,6199,
,54,6214,0.3437022566795349
0.34303009510040283,55,6249,
0.33535245060920715,55,6299,
,55,6327,0.34363335371017456
0.31664296984672546,56,6349,
0.3409510850906372,56,6399,
,56,6440,0.3435821831226349
0.35046231746673584,57,6449,
0.34581559896469116,57,6499,
0.34393030405044556,57,6549,
,57,6553,0.34351786971092224
0.3317125141620636,58,6599,
0.3224303424358368,58,6649,
,58,6666,0.34346356987953186
0.33647942543029785,59,6699,
0.3291401267051697,59,6749,
,59,6779,0.3434489965438843
0.33865001797676086,60,6799,
0.35965481400489807,60,6849,
,60,6892,0.343391478061676
0.33848536014556885,61,6899,
0.3279971480369568,61,6949,
0.34383922815322876,61,6999,
,61,7005,0.34334808588027954
0.3297431468963623,62,7049,
0.33482682704925537,62,7099,
,62,7118,0.3433220088481903
0.3563913106918335,63,7149,
0.3222581446170807,63,7199,
,63,7231,0.3432599902153015
0.33593374490737915,64,7249,
0.37054547667503357,64,7299,
,64,7344,0.3432490825653076
0.3692432641983032,65,7349,
0.36299148201942444,65,7399,
0.35980555415153503,65,7449,
,65,7457,0.3432077467441559
0.3537311851978302,66,7499,
0.3462418019771576,66,7549,
,66,7570,0.343211829662323
0.34178441762924194,67,7599,
0.34079843759536743,67,7649,
,67,7683,0.34315037727355957
0.34580516815185547,68,7699,
0.3227238655090332,68,7749,
,68,7796,0.34313490986824036
0.3254247307777405,69,7799,
0.3473052382469177,69,7849,
0.3452329635620117,69,7899,
,69,7909,0.34316176176071167
0.37884995341300964,70,7949,
0.36453911662101746,70,7999,
,70,8022,0.34310460090637207
0.337706059217453,71,8049,
0.3387146592140198,71,8099,
,71,8135,0.3430749773979187
0.3389795422554016,72,8149,
