train_loss,epoch,step,val_loss,test_acc
0.3842095732688904,0,49,,
0.3745034337043762,0,99,,
,0,112,0.3845413625240326,
0.4184383451938629,1,149,,
0.372124046087265,1,199,,
,1,225,0.3779287040233612,
0.353852778673172,2,249,,
0.4109077453613281,2,299,,
,2,338,0.37576353549957275,
0.34467998147010803,3,349,,
0.378884881734848,3,399,,
0.38447943329811096,3,449,,
,3,451,0.37342536449432373,
0.39073845744132996,4,499,,
0.3641849756240845,4,549,,
,4,564,0.37188196182250977,
0.3560475707054138,5,599,,
0.35132449865341187,5,649,,
,5,677,0.37149062752723694,
0.37121015787124634,6,699,,
0.387348473072052,6,749,,
,6,790,0.3700273036956787,
0.33886706829071045,7,799,,
0.3424108922481537,7,849,,
0.33212342858314514,7,899,,
,7,903,0.36984360218048096,
0.3674807548522949,8,949,,
0.355027973651886,8,999,,
,8,1016,0.3684930205345154,
0.3824661374092102,9,1049,,
0.37988948822021484,9,1099,,
,9,1129,0.36812618374824524,
0.36051326990127563,10,1149,,
0.35093408823013306,10,1199,,
,10,1242,0.36771878600120544,
0.38794198632240295,11,1249,,
0.3594992160797119,11,1299,,
0.3600637912750244,11,1349,,
,11,1355,0.3675574064254761,
0.3523859977722168,12,1399,,
0.3540577292442322,12,1449,,
,12,1468,0.3663996160030365,
0.35359281301498413,13,1499,,
0.3718738853931427,13,1549,,
,13,1581,0.36802220344543457,
0.3563673496246338,14,1599,,
0.35382431745529175,14,1649,,
,14,1694,0.3656608760356903,
0.37671130895614624,15,1699,,
0.3662385046482086,15,1749,,
0.3657698631286621,15,1799,,
,15,1807,0.3650262653827667,
0.36846062541007996,16,1849,,
0.37953540682792664,16,1899,,
,16,1920,0.36469483375549316,
0.33661961555480957,17,1949,,
0.3179413676261902,17,1999,,
,17,2033,0.36498403549194336,
0.3657495975494385,18,2049,,
0.3439334034919739,18,2099,,
,18,2146,0.36418843269348145,
0.3466569483280182,19,2149,,
0.34281671047210693,19,2199,,
0.33181652426719666,19,2249,,
,19,2259,0.36367759108543396,
0.34588584303855896,20,2299,,
0.35759440064430237,20,2349,,
,20,2372,0.3641221821308136,
0.3602507710456848,21,2399,,
0.33804142475128174,21,2449,,
,21,2485,0.3648363947868347,
0.3591122627258301,22,2499,,
0.3913663625717163,22,2549,,
,22,2598,0.3634415566921234,
0.3761370778083801,23,2599,,
0.391059935092926,23,2649,,
0.375652551651001,23,2699,,
,23,2711,0.36314165592193604,
0.3575945496559143,24,2749,,
0.36636683344841003,24,2799,,
,24,2824,0.36494025588035583,
0.33409222960472107,25,2849,,
0.40044957399368286,25,2899,,
,25,2937,0.36368775367736816,
0.3504933714866638,26,2949,,
0.35419249534606934,26,2999,,
0.3507305979728699,26,3049,,
,26,3050,0.36362773180007935,
0.3531191051006317,27,3099,,
0.3514699339866638,27,3149,,
,27,3163,0.3632781505584717,
0.34576454758644104,28,3199,,
0.33916181325912476,28,3249,,
,28,3276,0.36239051818847656,
0.3553309142589569,29,3299,,
0.38140782713890076,29,3349,,
,29,3389,0.36298829317092896,
0.37202614545822144,30,3399,,
0.35090136528015137,30,3449,,
0.33750349283218384,30,3499,,
,30,3502,0.36420631408691406,
0.3626309931278229,31,3549,,
0.37538769841194153,31,3599,,
,31,3615,0.36208009719848633,
0.35772621631622314,32,3649,,
0.3641069531440735,32,3699,,
,32,3728,0.36259058117866516,
0.34064412117004395,33,3749,,
0.353919118642807,33,3799,,
,33,3841,0.3621349036693573,
0.3702729642391205,34,3849,,
