train_loss,epoch,step,val_loss,test_acc
0.39765533804893494,0,49,,
0.38149285316467285,0,99,,
,0,112,0.38508033752441406,
0.36193960905075073,1,149,,
0.42468416690826416,1,199,,
,1,225,0.3785231113433838,
0.3509996831417084,2,249,,
0.3532870411872864,2,299,,
,2,338,0.3728526830673218,
0.3478441536426544,3,349,,
0.37334132194519043,3,399,,
0.36176878213882446,3,449,,
,3,451,0.3699553310871124,
0.39178138971328735,4,499,,
0.3666056990623474,4,549,,
,4,564,0.3681309223175049,
0.36836135387420654,5,599,,
0.33910706639289856,5,649,,
,5,677,0.36689049005508423,
0.37634676694869995,6,699,,
0.3703475892543793,6,749,,
,6,790,0.3666453957557678,
0.3531751334667206,7,799,,
0.4079626798629761,7,849,,
0.3586796820163727,7,899,,
,7,903,0.36622145771980286,
0.3542850911617279,8,949,,
0.352358877658844,8,999,,
,8,1016,0.36605557799339294,
0.3741704821586609,9,1049,,
0.3680635690689087,9,1099,,
,9,1129,0.3641066551208496,
0.34471529722213745,10,1149,,
0.34091222286224365,10,1199,,
,10,1242,0.36390864849090576,
0.34689170122146606,11,1249,,
0.3632974624633789,11,1299,,
0.3813032805919647,11,1349,,
,11,1355,0.36368298530578613,
0.33303403854370117,12,1399,,
0.3584277033805847,12,1449,,
,12,1468,0.36387380957603455,
0.37357741594314575,13,1499,,
0.3550589978694916,13,1549,,
,13,1581,0.3633713126182556,
0.34890198707580566,14,1599,,
0.3754218816757202,14,1649,,
,14,1694,0.3631671369075775,
0.36306750774383545,15,1699,,
0.339962899684906,15,1749,,
0.3769884407520294,15,1799,,
,15,1807,0.36230090260505676,
0.3791740834712982,16,1849,,
0.3507429361343384,16,1899,,
,16,1920,0.36406415700912476,
0.3727456331253052,17,1949,,
0.336396723985672,17,1999,,
,17,2033,0.36330851912498474,
0.3603292405605316,18,2049,,
0.3743993639945984,18,2099,,
,18,2146,0.3616865277290344,
0.3466545343399048,19,2149,,
0.3443276882171631,19,2199,,
0.3824794888496399,19,2249,,
,19,2259,0.3628990054130554,
0.34816378355026245,20,2299,,
0.377261757850647,20,2349,,
,20,2372,0.3626773953437805,
0.34859898686408997,21,2399,,
0.3641621470451355,21,2449,,
,21,2485,0.3614955246448517,
0.3676287829875946,22,2499,,
0.33621034026145935,22,2549,,
,22,2598,0.36157122254371643,
0.36777639389038086,23,2599,,
0.37200304865837097,23,2649,,
0.36212843656539917,23,2699,,
,23,2711,0.36111506819725037,
0.38107559084892273,24,2749,,
0.3463858664035797,24,2799,,
,24,2824,0.3638659715652466,
0.372018039226532,25,2849,,
0.34697267413139343,25,2899,,
,25,2937,0.36176708340644836,
0.3540038466453552,26,2949,,
0.3309613764286041,26,2999,,
0.37240856885910034,26,3049,,
,26,3050,0.3620299696922302,
0.40316930413246155,27,3099,,
0.33854880928993225,27,3149,,
,27,3163,0.3622039258480072,
0.3481065630912781,28,3199,,
0.33800649642944336,28,3249,,
,28,3276,0.36132681369781494,
0.3452131152153015,29,3299,,
0.32557737827301025,29,3349,,
,29,3389,0.3620574474334717,
0.3788301944732666,30,3399,,
0.33440184593200684,30,3449,,
0.3738013803958893,30,3499,,
,30,3502,0.36220768094062805,
0.356434166431427,31,3549,,
0.36376434564590454,31,3599,,
,31,3615,0.36267831921577454,
0.33604636788368225,32,3649,,
0.3800733685493469,32,3699,,
,32,3728,0.3618088662624359,
0.32987308502197266,33,3749,,
0.35508739948272705,33,3799,,
,33,3841,0.36175283789634705,
0.35941430926322937,34,3849,,
0.36336320638656616,34,3899,,
0.3881705403327942,34,3949,,
,34,3954,0.36263149976730347,
0.3553757965564728,35,3999,,
0.32894718647003174,35,4049,,
,35,4067,0.361672967672348,
0.3690064251422882,36,4099,,
0.3460460305213928,36,4149,,
,36,4180,0.3655879497528076,
0.343778133392334,37,4199,,
0.3287990391254425,37,4249,,
,37,4293,0.36159881949424744,
0.33326321840286255,38,4299,,
0.3494214117527008,38,4349,,
0.34653183817863464,38,4399,,
,38,4406,0.3615627586841583,
0.34135153889656067,39,4449,,
0.35547229647636414,39,4499,,
,39,4519,0.3631035387516022,
0.37178313732147217,40,4549,,
0.34906843304634094,40,4599,,
,40,4632,0.3613150119781494,
0.3459736704826355,41,4649,,
0.34016183018684387,41,4699,,
,41,4745,0.36200520396232605,
0.37482163310050964,42,4749,,
0.33918502926826477,42,4799,,
0.3462371826171875,42,4849,,
,42,4858,0.3641465902328491,
0.36105823516845703,43,4899,,
0.3676897883415222,43,4949,,
,43,4971,0.3614824116230011,
0.33611148595809937,44,4999,,
0.34465545415878296,44,5049,,
,44,5084,0.3609156310558319,
0.3377411961555481,45,5099,,
0.3514421880245209,45,5149,,
,45,5197,0.36195942759513855,
0.37763699889183044,46,5199,,
0.34243324398994446,46,5249,,
0.3971475064754486,46,5299,,
,46,5310,0.36316847801208496,
0.36169981956481934,47,5349,,
0.34659382700920105,47,5399,,
,47,5423,0.3628123998641968,
0.34086620807647705,48,5449,,
0.3534524142742157,48,5499,,
,48,5536,0.3616736829280853,
0.34461283683776855,49,5549,,
0.3352498710155487,49,5599,,
0.34086310863494873,49,5649,,
,49,5649,0.36108192801475525,
0.3488348126411438,50,5699,,
0.33240050077438354,50,5749,,
,50,5762,0.36138471961021423,
0.3416123688220978,51,5799,,
0.3484278917312622,51,5849,,
,51,5875,0.36168333888053894,
0.3288595378398895,52,5899,,
0.35977843403816223,52,5949,,
,52,5988,0.3615350127220154,
0.3415801525115967,53,5999,,
0.3498048186302185,53,6049,,
0.354773610830307,53,6099,,
,53,6101,0.36110350489616394,
0.34480273723602295,54,6149,,
0.3721943497657776,54,6199,,
,54,6214,0.3623177111148834,
0.33932486176490784,55,6249,,
0.35443004965782166,55,6299,,
,55,6327,0.36234250664711,
0.3633210361003876,56,6349,,
0.33950838446617126,56,6399,,
,56,6440,0.36189767718315125,
0.34209105372428894,57,6449,,
0.35109326243400574,57,6499,,
0.33555829524993896,57,6549,,
,57,6553,0.3645174205303192,
0.3308755159378052,58,6599,,
0.3618532121181488,58,6649,,
,58,6666,0.36138972640037537,
0.3511403501033783,59,6699,,
0.37968477606773376,59,6749,,
,59,6779,0.3625484108924866,
0.3312298655509949,60,6799,,
0.3440437316894531,60,6849,,
,60,6892,0.36085015535354614,
0.36524441838264465,61,6899,,
0.3398866653442383,61,6949,,
0.3490803837776184,61,6999,,
,61,7005,0.3610948920249939,
0.3399292528629303,62,7049,,
0.3325030505657196,62,7099,,
,62,7118,0.3630438446998596,
0.3248920440673828,63,7149,,
0.3371855616569519,63,7199,,
,63,7231,0.36266249418258667,
0.3379817306995392,64,7249,,
0.3382984697818756,64,7299,,
,64,7344,0.36115407943725586,
0.3360658884048462,65,7349,,
0.3663743734359741,65,7399,,
0.35817500948905945,65,7449,,
,65,7457,0.3625609278678894,
0.3574250340461731,66,7499,,
0.36163026094436646,66,7549,,
,66,7570,0.36282724142074585,
0.33097517490386963,67,7599,,
0.34753602743148804,67,7649,,
,67,7683,0.3617577850818634,
0.36135098338127136,68,7699,,
0.3642285466194153,68,7749,,
,68,7796,0.3616792559623718,
0.3379834294319153,69,7799,,
0.3633362054824829,69,7849,,
0.3346422612667084,69,7899,,
,69,7909,0.3624188303947449,
0.3291665017604828,70,7949,,
0.3472524881362915,70,7999,,
,70,8022,0.36206671595573425,
0.3485109806060791,71,8049,,
0.3419502079486847,71,8099,,
,71,8135,0.3616048991680145,
0.3539431691169739,72,8149,,
0.35395118594169617,72,8199,,
,72,8248,0.3619426488876343,
0.3280116021633148,73,8249,,
0.3274351954460144,73,8299,,
0.3434915244579315,73,8349,,
,73,8361,0.3617039918899536,
0.352664053440094,74,8399,,
0.3510472774505615,74,8449,,
,74,8474,0.36197608709335327,
0.3338315486907959,75,8499,,
0.33562833070755005,75,8549,,
,75,8587,0.3624664545059204,
0.37104862928390503,76,8599,,
0.3624119162559509,76,8649,,
0.33565592765808105,76,8699,,
,76,8700,0.36448872089385986,
0.35376256704330444,77,8749,,
0.32956573367118835,77,8799,,
,77,8813,0.361574649810791,
0.3533869683742523,78,8849,,
0.3510631322860718,78,8899,,
,78,8926,0.3616011440753937,
0.3334720730781555,79,8949,,
0.3594517707824707,79,8999,,
,79,9039,0.36138612031936646,
0.3375689387321472,80,9049,,
0.34646934270858765,80,9099,,
0.34480127692222595,80,9149,,
,80,9152,0.3619098961353302,
0.36445680260658264,81,9199,,
0.3353894054889679,81,9249,,
,81,9265,0.3614598214626312,
0.3629816472530365,82,9299,,
0.3561559021472931,82,9349,,
